Code Postal,Commune,Population,Code Département,latitude,longitude
63550,SAINT VICTOR MONTVIANEIX,300.00000000000006,63,45.93811590520001,3.61132640921
26150,BARSAC,200.0,26,44.7264116116,5.30407617795
42940,SAINT BONNET LE COURREAU,700.0000000000001,42,45.65516194600001,3.9261116008999997
69660,COLLONGES AU MONT D OR,3800.0,69,45.822041191400004,4.8419319446
61360,VIDAI,100.0,61,48.4602912292,0.376581458211
68290,SICKERT,300.00000000000006,68,47.7919119213,6.98580589371
27850,MENESQUEVILLE,400.0,27,49.3574004646,1.40684415026
54450,AMENONCOURT,100.0,54,48.6300704003,6.78443520767
41800,LES ROCHES L EVEQUE,300.00000000000006,41,47.7861085409,0.88757317848
58440,MYENNES,600.0000000000001,58,47.45436292229999,2.94370342447
28130,BOUGLAINVAL,700.0000000000001,28,48.5606379303,1.51011696561
51130,SOULIERES,100.0,51,48.903840277200004,3.93440126624
65350,CASTELVIEILH,200.0,65,43.281097408,0.20137287653299998
72400,LA CHAPELLE DU BOIS,900.0,72,48.227002131300004,0.583491271516
17220,CLAVETTE,1100.0,17,46.1423813762,-1.0366014212799999
79150,VOULTEGON,600.0000000000001,79,46.911962801099996,-0.5242967900500001
28120,OLLE,600.0000000000001,28,48.3861713176,1.29676910004
22350,YVIGNAC LA TOUR,1200.0,22,48.348852730699996,-2.17094067762
15130,YOLET,600.0000000000001,15,44.930748172600005,2.5382689478000002
27380,DOUVILLE SUR ANDELLE,400.0,27,49.3329198858,1.30756774405
11420,CAHUZAC,0.0,11,43.1910457149,1.8547719586000002
21460,EPOISSES,800.0,21,47.503328927700004,4.17120505436
64330,GARLIN,1400.0,64,43.5599586619,-0.272296457605
15340,MOURJOU,300.00000000000006,15,44.697416105500004,2.31659060855
52110,BOUZANCOURT,100.0,52,48.316182891400004,4.95023725164
33160,SAINT AUBIN DE MEDOC,6000.0,33,44.933349794099996,-0.7485181973270001
21310,OISILLY,100.0,21,47.416992177,5.36192344642
91370,VERRIERES LE BUISSON,15500.0,91,48.75044312,2.25171297214
35210,PRINCE,400.0,35,48.237098725699994,-1.10577928863
77126,COURCELLES EN BASSEE,200.0,77,48.4125606521,3.05294050556
08260,ESTREBAY,100.0,08,49.8253440088,4.34568774297
14330,SAONNET,200.0,14,49.2721933862,-0.880981294808
39250,FRAROZ,0.0,39,46.7287692147,6.09880430783
60128,PLAILLY,1700.0000000000002,60,49.111362157399995,2.57767746026
38090,VILLEFONTAINE,18500.0,38,45.6136289454,5.1554767335500005
18140,SAINT MARTIN DES CHAMPS,300.00000000000006,18,47.173174971,2.93500889323
50200,GRATOT,700.0000000000001,50,49.068310439099996,-1.4945477415700001
60400,MONDESCOURT,300.00000000000006,60,49.600763245900005,3.1093333311599998
60400,LARBROYE,500.0,60,49.5711545725,2.9606429093599997
34400,SATURARGUES,900.0,34,43.7142810482,4.11714344824
04200,VAUMEILH,300.00000000000006,04,44.290307695699994,5.956531218169999
50720,BARENTON,1300.0,50,48.608353386800005,-0.8306422456820001
14220,THURY HARCOURT,2000.0,14,48.9864514562,-0.48510906710199997
43150,CHADRON,300.00000000000006,43,44.950094906400004,3.93743261861
91730,MAUCHAMPS,300.00000000000006,91,48.5272680908,2.19718165044
54370,RECHICOURT LA PETITE,100.0,54,48.717997142,6.58235675457
32400,LELIN LAPUJOLLE,200.0,32,43.7070511405,-0.134532428412
41500,LA CHAPELLE SAINT MARTIN EN PLAINE,700.0000000000001,41,47.7330590404,1.4119225374200002
22480,SAINT CONNAN,300.00000000000006,22,48.412323087,-3.0760894051200003
52700,SEMILLY,100.0,52,48.25059928060001,5.46434760219
24410,ECHOURGNAC,400.0,24,45.1290868682,0.223067920753
08300,SAINT LOUP EN CHAMPAGNE,200.0,08,49.4528238096,4.21534946763
57320,VOELFLING LES BOUZONVILLE,200.0,57,49.2929378044,6.605273779430001
80132,CAHON,200.0,80,50.1196980622,1.7290169639
45300,PITHIVIERS LE VIEIL,1900.0,45,48.1732947804,2.20648380316
31700,BLAGNAC,21800.0,31,43.6421867862,1.37886941086
01500,AMBRONAY,2300.0,01,46.005591378199995,5.35760660735
18200,ORVAL,1900.0,18,46.7220226061,2.4672000898700004
66220,CAUDIES DE FENOUILLEDES,600.0000000000001,66,42.8195033862,2.37751985492
51300,MAISONS EN CHAMPAGNE,500.0,51,48.7366632829,4.467001607709999
50420,CHEVRY,100.0,50,48.9712032014,-1.11387422204
51260,POTANGIS,100.0,51,48.5850735929,3.64666442992
74290,BLUFFY,300.00000000000006,74,45.8655021029,6.22227398882
53210,LOUVIGNE,1000.0,53,48.0547197919,-0.634640720339
13620,CARRY LE ROUET,6300.0,13,43.3427663021,5.15373765817
21610,SAINT SEINE SUR VINGEANNE,400.0,21,47.5168029251,5.433236665730001
67270,DURNINGEN,600.0000000000001,67,48.6849651267,7.561828481799999
77400,LAGNY SUR MARNE,20200.0,77,48.873070185799996,2.7097808131299996
15340,CALVINET,500.0,15,44.721184753100005,2.3619205435099997
24320,NANTEUIL AURIAC DE BOURZAC,300.00000000000006,24,45.3801182824,0.287647763692
57260,GUEBLANGE LES DIEUZE,200.0,57,48.7774548457,6.70140022635
14100,SAINT MARTIN DE MAILLOC,900.0,14,49.08840656899999,0.286444688377
72440,SAINT MICHEL DE CHAVAIGNES,800.0,72,48.0092301302,0.57342688237
38113,VEUREY VOROIZE,1400.0,38,45.269442165600005,5.601950850240001
68610,LAUTENBACH,1600.0,68,47.9527349295,7.164330103130001
64400,GERONCE,400.0,64,43.222147965699996,-0.710166887554
